Pipeline_Acc,topic0,topic1
0.71875,0.8797286599260153,0.0
0.84375,0.01815465784674184,0.3989522758486021
0.53125,0.7500936011687503,0.553939508183201
0.90625,0.0,0.33082660963817506
0.84375,0.4657121880847716,0.0
0.3125,0.7852663920129862,0.32158179475980725
0.5,0.8786105107987716,0.41226221875370617
0.8125,0.3176764340587648,0.12008233366423454
0.96875,0.0,0.12476720413769637
0.75,0.2566145760124419,0.3780738890588348
0.875,0.10477219198471305,0.2304105992792687
0.78125,0.0,0.7913542419837257
0.59375,0.9903244960402361,0.0653166469313177
0.59375,0.9124466035092962,0.24574839961372605
0.75,0.0,0.8442224713642567
0.96875,0.0,0.12476720413769637
0.875,0.35917585279596725,0.0
0.5625,0.8707175467033361,0.3252169580605091
0.03125,1.074034536359695,0.8961876199661674
0.96875,0.0,0.12476720413769637
0.96875,0.0,0.12476720413769637
0.59375,0.9124466035092962,0.24574839961372608
0.5,0.8480464029913413,0.5319415154906487
0.78125,0.024736278681580508,0.55331371599017
0.09375,1.0102677469548138,0.9835594075657889
0.5,0.006244661379339992,0.861875709726593
0.6875,0.25373957605785913,0.7094667716189733
0.84375,0.4657121880847716,0.0
0.9375,0.01610747818796924,0.03731273860305386
0.5625,0.414923232454649,0.7150846076682871
0.25,0.9148946973363128,0.878826050623533
0.375,1.0210125765124416,0.5744805028104037
0.25,0.9490364981759076,0.8790605388179835
0.8125,0.5469862929436866,0.0
0.96875,0.0,0.12476720413769637
0.03125,1.074034536359695,0.8961876199661674
0.71875,0.1470804765972707,0.648390747803574
0.8125,0.3176764340587648,0.12008233366423454
0.90625,0.25108484735719044,0.006337924120620148
0.9375,0.0,0.20345709301637874
0.53125,0.9572428942239274,0.2244314613880139
0.8125,0.3176764340587648,0.12008233366423454
0.46875,0.5218181813789499,0.8480453472765082
0.96875,0.0,0.12476720413769637
0.75,0.0,0.8442224713642567
0.65625,0.5686341793199775,0.05326250040154331
0.84375,0.4657121880847716,0.0
0.59375,0.44841924992090704,0.7319787538333136
0.96875,0.0,0.12476720413769637
0.84375,0.4657121880847716,0.0
0.78125,0.3592866231824532,0.13958282739318967
0.75,0.0,0.8429682888736657
0.9375,0.0,0.20345709301637874
0.625,0.8969324769858199,0.17152902158941574
0.375,1.0210125765124416,0.5744805028104037
0.03125,1.0301923300644793,1.0122215763202997
0.6875,0.9145199410742237,0.0
0.78125,0.3592866231824532,0.13958282739318967
0.71875,0.13863061915041447,0.7424719315607112
0.71875,0.7204159616426274,0.057821085353767024
0.875,0.35917585279596725,0.0
0.46875,0.0,1.0597408961634982
0.5625,0.414923232454649,0.7150846076682871
0.71875,0.0,0.8958365182541967
0.96875,0.0,0.12476720413769637
0.625,0.9406770456951304,0.0
0.375,0.1420734910850252,0.8595195447893649
0.46875,0.0,1.0597408961634982
0.875,0.10477219198471305,0.2304105992792687
0.96875,0.0,0.12476720413769637
0.84375,0.4657121880847716,0.0
0.15625,1.1395419274747316,0.4062190760917584
0.375,1.0210125765124416,0.5744805028104037
0.78125,0.3592866231824532,0.13958282739318967
0.375,0.9697395019777189,0.6379348480277917
0.78125,0.0,0.7655325824855744
0.4375,1.001269909973863,0.4711350579837548
0.96875,0.0,0.12476720413769637
0.9375,0.0,0.20345709301637874
0.96875,0.0,0.12476720413769637
0.75,0.0,0.8228450209439142
0.84375,0.28622781782685636,0.09170838529691647
0.9375,0.006581620834838625,0.15436144014156802
0.96875,0.0,0.12476720413769637
0.96875,0.04161018912368846,0.019500493728955105
0.5,0.10470354853371472,0.7185201198457553
0.03125,1.074034536359695,0.8961876199661674
0.625,0.19374979601377998,0.737846722625423
0.75,0.0,0.8442224713642567
0.78125,0.0,0.7655325824855744
0.84375,0.4657121880847716,0.0
0.53125,0.5715899113489086,0.6855364098194292
0.34375,0.9446765507279045,0.44223830275445647
0.6875,0.9145199410742237,0.0
0.6875,0.053292583226525116,0.6754861508752994
0.84375,0.4657121880847716,0.0
0.625,0.0,1.0030746114976266
0.78125,0.0,0.7655325824855744
0.75,0.0,0.8442224713642567
0.71875,0.349751370453875,0.3618947867108485
0.6875,0.19321968514100274,0.788709124585018
0.71875,0.1470804765972707,0.648390747803574
0.53125,0.918965863812758,0.3981109738350733
0.1875,1.0276877711458916,0.5705501091565441
0.5625,1.0159094669146445,0.07223237949479301
